Dzongkhag_Name,Dzongkhag_Latitude,Dzongkhag_Longitude,Hospital_Name,Hospital_latitude,Hospital_longitude,Level_of_ school,Female_student,Male_student,Total_students,Age,,,,,
Bumthang,27.6418,90.6773,Wangduecholing ,27.55913,90.74479,VI,144,170,314,11,,,,,
Bumthang,27.6418,90.6773,Wangduecholing ,27.55913,90.74479,VII,153,176,329,12,,,,,
Bumthang,27.6418,90.6773,Wangduecholing ,27.55913,90.74479,VIII,213,183,396,13,,,,,
Bumthang,27.6418,90.6773,Wangduecholing ,27.55913,90.74479,IX,117,116,233,14,,,,,
Bumthang,27.6418,90.6773,Wangduecholing ,27.55913,90.74479,X,92,86,178,15,,,,,
Bumthang,27.6418,90.6773,Wangduecholing ,27.55913,90.74479,XI,115,109,224,16,,,,,
Bumthang,27.6418,90.6773,Wangduecholing ,27.55913,90.74479,XII,143,138,281,17,,,,,
Chukha,27.0784,89.4742,Tsimalakha,27.0869,89.54,VI,333,306,639,11,,,,,
Chukha,27.0784,89.4742,Tsimalakha,27.0869,89.54,VII,422,403,825,12,,,,,
Chukha,27.0784,89.4742,Tsimalakha,27.0869,89.54,VIII,494,406,900,13,,,,,
Chukha,27.0784,89.4742,Tsimalakha,27.0869,89.54,IX,320,241,561,14,,,,,
Chukha,27.0784,89.4742,Gedu,26.91905,89.5293,VI,333,306,639,11,,,,,
Chukha,27.0784,89.4742,Gedu,26.91905,89.5293,VII,422,403,825,12,,,,,
Chukha,27.0784,89.4742,Gedu,26.91905,89.5293,VIII,494,406,900,13,,,,,
Chukha,27.0784,89.4742,Gedu,26.91905,89.5293,IX,320,241,561,14,,,,,
Chukha,27.0784,89.4742,Gedu,26.91905,89.5293,X,382,317,699,15,,,,,
Chukha,27.0784,89.4742,Gedu,26.91905,89.5293,XI,246,227,473,16,,,,,
Chukha,27.0784,89.4742,Gedu,26.91905,89.5293,XII,240,205,445,17,,,,,
Chukha,27.0784,89.4742,Phuentsholing ,26.86763,89.38606,VI,156,151,307,11,,,,,
Chukha,27.0784,89.4742,Phuentsholing ,26.86763,89.38606,VII,149,148,297,12,,,,,
Chukha,27.0784,89.4742,Phuentsholing ,26.86763,89.38606,VIII,178,171,349,13,,,,,
Chukha,27.0784,89.4742,Phuentsholing ,26.86763,89.38606,IX,107,130,237,14,,,,,
Chukha,27.0784,89.4742,Phuentsholing ,26.86763,89.38606,X,136,142,278,15,,,,,
Chukha,27.0784,89.4742,Phuentsholing ,26.86763,89.38606,XI,102,80,182,16,,,,,
Chukha,27.0784,89.4742,Phuentsholing ,26.86763,89.38606,XII,188,154,342,17,,,,,
Dagana,27.0323,89.8879,Dagapela,26.93407,89.95508,VI,200,224,424,11,,,,,
Dagana,27.0323,89.8879,Dagapela,26.93407,89.95508,VII,217,254,471,12,,,,,
Dagana,27.0323,89.8879,Dagapela,26.93407,89.95508,VIII,359,290,649,13,,,,,
Dagana,27.0323,89.8879,Dagapela,26.93407,89.95508,IX,114,175,289,14,,,,,
Dagana,27.0323,89.8879,Dagapela,26.93407,89.95508,X,251,216,467,15,,,,,
Dagana,27.0323,89.8879,Dagapela,26.93407,89.95508,XI,190,142,332,16,,,,,
Dagana,27.0323,89.8879,Dagapela,26.93407,89.95508,XII,170,155,325,17,,,,,
Gasa,27.91908,89.78753,,0,0,VI,28,18,46,11,,,,,
Gasa,27.91908,89.78753,,0,0,VII,22,20,42,12,,,,,
Gasa,27.91908,89.78753,,0,0,VIII,41,53,94,13,,,,,
Gasa,27.91908,89.78753,,0,0,IX,19,13,32,14,,,,,
Gasa,27.91908,89.78753,,0,0,X,55,48,103,15,,,,,
Gasa,27.91908,89.78753,,0,0,XI,10,6,16,16,,,,,
Gasa,27.91908,89.78753,,0,0,XII,47,34,81,17,,,,,
Sarpang,26.8703648,90.4855802,Central Regional Referal ,26.87503,90.49092,VI,85,112,197,11,,,,,
Sarpang,26.8703648,90.4855802,Central Regional Referal ,26.87503,90.49092,VII,129,129,258,12,,,,,
Sarpang,26.8703648,90.4855802,Central Regional Referal ,26.87503,90.49092,VIII,171,145,316,13,,,,,
Sarpang,26.8703648,90.4855802,Central Regional Referal ,26.87503,90.49092,IX,116,74,190,14,,,,,
Sarpang,26.8703648,90.4855802,Central Regional Referal ,26.87503,90.49092,X,123,97,220,15,,,,,
Sarpang,26.8703648,90.4855802,Central Regional Referal ,26.87503,90.49092,XI,101,106,207,16,,,,,
Sarpang,26.8703648,90.4855802,Central Regional Referal ,26.87503,90.49092,XII,105,71,176,17,,,,,
Haa,27.2652,89.1706,Haa,27.38244,89.2666,VI,107,82,189,11,,,,,
Haa,27.2652,89.1706,Haa,27.38244,89.2666,VII,135,121,256,12,,,,,
Haa,27.2652,89.1706,Haa,27.38244,89.2666,VIII,199,160,359,13,,,,,
Haa,27.2652,89.1706,Haa,27.38244,89.2666,IX,74,54,128,14,,,,,
Haa,27.2652,89.1706,Haa,27.38244,89.2666,X,128,122,250,15,,,,,
Haa,27.2652,89.1706,Haa,27.38244,89.2666,XI,119,123,242,16,,,,,
Haa,27.2652,89.1706,Haa,27.38244,89.2666,XII,99,112,211,17,,,,,
