Dzongkhag_Name,Hospital_Name,Hospital_latitude,Hospital_longitude,Gewog_Name,Geowog_Latitude,Geowog_Longitude
Bumthang,Wangduecholing ,27.56,90.74,Bumthang Town,27.56,90.75
Bumthang,Wangduecholing ,27.56,90.74,Chhumig Town,27.55,90.75
Bumthang,Wangduecholing ,27.56,90.74,Chhoekhor,27.59,90.73
Bumthang,Wangduecholing ,27.56,90.74,Tang,27.56,90.81
Bumthang,Wangduecholing ,27.56,90.74,Chhumig,27.50,90.70
Bumthang,Wangduecholing ,27.56,90.74,Ura,27.49,90.92
Chukha,Tsimalakha,27.09,89.54,Phuentholing Thromde,26.86,89.38
Chukha,Tsimalakha,27.09,89.54,Tsimasham Town,27.11,89.54
Chukha,Tsimalakha,27.09,89.54,Chhukha Town,27.05,89.58
Chukha,Tsimalakha,27.09,89.54,Darla Town,26.86,89.56
Chukha,Tsimalakha,27.09,89.54,Gedu Town,26.93,89.52
Chukha,Phuentsholing ,26.87,89.39,Bjachhog,27.11,89.58
Chukha,Phuentsholing ,26.87,89.39,Bongo,26.94,89.59
Chukha,Phuentsholing ,26.87,89.39,Chapchha,27.19,89.54
Chukha,Phuentsholing ,26.87,89.39,Darla,26.86,89.55
Chukha,Phuentsholing ,26.87,89.39,Getena,26.97,89.74
Chukha,Gedu,26.92,89.53,Doongna,27.04,89.40
Chukha,Gedu,26.92,89.53,Geling,27.15,89.53
Chukha,Gedu,26.92,89.53,loggchina,26.95,89.39
Chukha,Gedu,26.92,89.53,Maedtabkha,27.07,89.41
Chukha,Gedu,26.92,89.53,Phuentsholing,26.86,89.39
Chukha,Gedu,26.92,89.53,Samphelling,26.84,89.43
Dagana,Dagapela,26.93,89.96,Dagana Town,27.10,89.87
Dagana,Dagapela,26.93,89.96,Lhamoi Dzhingkha Town,26.71,89.85
Dagana,Dagapela,26.93,89.96,Dagapela Town,26.94,89.92
Dagana,Dagapela,26.93,89.96,Drukjeygnag Town,26.98,90.05
Dagana,Dagapela,26.93,89.96,Sankosh Town,27.02,90.04
Dagana,Dagapela,26.93,89.96,Drukjeygnag,26.94,89.92
Dagana,Dagapela,26.93,89.96,Gozhi,26.95,89.94
Dagana,Dagapela,26.93,89.96,Karna,27.02,89.95
Dagana,Dagapela,26.93,89.96,Khebisa,26.95,89.98
Dagana,Dagapela,26.93,89.96,Largyab,27.09,90.03
Dagana,Dagapela,26.93,89.96,Tseza,27.10,89.86
Dagana,Dagapela,26.93,89.96,Tsangkha,27.04,90.04
Dagana,Dagapela,26.93,89.96,Karmaling,26.80,89.86
Dagana,Dagapela,26.93,89.96,Dorona,26.91,89.86
Dagana,Dagapela,26.93,89.96,Gesarling,26.92,89.90
Dagana,Dagapela,26.93,89.96,Lhamoi Dzhingkha,26.71,89.85
Dagana,Dagapela,26.93,89.96,Nichula,26.75,89.91
Dagana,Dagapela,26.93,89.96,Tashiding,26.94,90.00
Dagana,Dagapela,26.93,89.96,Tsenda-Gang,26.93,89.96
Gasa,Punakha,27.58,89.86,Gasa Town,27.90,89.73
Gasa,Punakha,27.58,89.86,Damji Town,27.81,89.73
Gasa,Punakha,27.58,89.86,Khamaed,27.81,89.73
Gasa,Punakha,27.58,89.86,Lunana,28.06,90.13
Gasa,Punakha,27.58,89.86,Khatoed,27.90,89.73
Gasa,Punakha,27.58,89.86,Laya,28.07,89.69
Sarpang,Central Regional Referal ,26.88,90.49,Gelephu Thromde,26.88,90.49
Sarpang,Central Regional Referal ,26.88,90.49,Sarpang Town,26.86,90.27
Sarpang,Central Regional Referal ,26.88,90.49,Samteling,26.92,90.43
Sarpang,Central Regional Referal ,26.88,90.49,Chhuzanggang,27.06,90.34
Sarpang,Central Regional Referal ,26.88,90.49,Gelephu,26.90,90.49
Sarpang,Central Regional Referal ,26.88,90.49,Jigme Chhoeling,27.03,90.55
Sarpang,Central Regional Referal ,26.88,90.49,Serzhong,26.89,90.54
Sarpang,Sarpang,26.87,90.26,Tareythang,26.82,90.56
Sarpang,Sarpang,26.87,90.26,Umling,26.84,90.54
Sarpang,Sarpang,26.87,90.26,Dekiling,26.88,90.34
Sarpang,Sarpang,26.87,90.26,Chhudzom,27.07,90.34
Sarpang,Sarpang,26.87,90.26,Gakiling,26.88,90.26
Sarpang,Sarpang,26.87,90.26,Senggey,26.88,90.26
Sarpang,Sarpang,26.87,90.26,Shompangkha,26.87,90.27
Haa,Haa,27.38,89.27,HaaTown,27.39,89.28
Haa,Haa,27.38,89.27,Jyenkhana,27.31,89.32
Haa,Haa,27.38,89.27,Bji,27.41,89.24
Haa,Haa,27.38,89.27,Kar-tshog,27.39,89.28
Haa,Haa,27.38,89.27,Uesu,27.35,89.31
Haa,Haa,27.38,89.27,Gakiling,27.36,89.31
Haa,Haa,27.38,89.27,Samar,27.29,89.31
Haa,Haa,27.38,89.27,Sangbay,27.17,89.11
Lhuntse,Lhuentse,27.83,91.13,Lhuentse Town,27.66,91.18
Lhuntse,Lhuentse,27.83,91.13,Autsho Town,27.44,91.17
Lhuntse,Lhuentse,27.83,91.13,Gangzur,27.68,91.19
Lhuntse,Lhuentse,27.83,91.13,Khoma,27.69,91.23
Lhuntse,Lhuentse,27.83,91.13,Kurtoed,27.83,91.12
Lhuntse,Lhuentse,27.83,91.13,Minjey,27.60,91.23
Lhuntse,Lhuentse,27.83,91.13,Jarey,27.45,91.13
Lhuntse,Lhuentse,27.83,91.13,Maenbi,27.59,91.19
Lhuntse,Lhuentse,27.83,91.13,Maedtsho,27.55,91.13
Lhuntse,Lhuentse,27.83,91.13,Tsaenkhar,27.48,91.18
Mongar,Eastern Regional Referral,27.28,91.24,Gyalposhing Town,27.23,91.20
Mongar,Eastern Regional Referral,27.28,91.24,Kilikhar Town,27.33,91.23
Mongar,Eastern Regional Referral,27.28,91.24,MongarTown,27.28,91.24
Mongar,Eastern Regional Referral,27.28,91.24,Yadi Town,27.29,91.37
Mongar,Eastern Regional Referral,27.28,91.24,Lingmethang Town,27.26,91.18
Mongar,Eastern Regional Referral,27.28,91.24,Dramedtse Town,27.32,91.44
Mongar,Eastern Regional Referral,27.28,91.24,Balam,27.34,91.39
Mongar,Eastern Regional Referral,27.28,91.24,Chagsakhar,27.28,91.37
Mongar,Eastern Regional Referral,27.28,91.24,Dramedtse,27.32,91.44
Mongar,Eastern Regional Referral,27.28,91.24,Na-Rang,27.34,91.47
Mongar,Eastern Regional Referral,27.28,91.24,Ngatshang,27.30,91.36
Mongar,Eastern Regional Referral,27.28,91.24,Shermuhoong,27.40,91.36
Mongar,Eastern Regional Referral,27.28,91.24,Thang-Rong,27.23,91.35
Mongar,Eastern Regional Referral,27.28,91.24,Gongdue,27.04,91.19
Mongar,Eastern Regional Referral,27.28,91.24,Jurmed,27.12,91.25
Mongar,Eastern Regional Referral,27.28,91.24,Kengkhar,27.10,91.32
Mongar,Eastern Regional Referral,27.28,91.24,Saling,27.26,91.17
Mongar,Eastern Regional Referral,27.28,91.24,Silambi,27.07,91.12
Mongar,Eastern Regional Referral,27.28,91.24,Chhaling,27.34,91.24
Mongar,Eastern Regional Referral,27.28,91.24,Drepoong,27.28,91.27
Mongar,Eastern Regional Referral,27.28,91.24,Mongar,27.28,91.24
Mongar,Eastern Regional Referral,27.28,91.24,Tsakaling,27.33,91.22
Mongar,Eastern Regional Referral,27.28,91.24,Tsamang,27.37,91.18
Paro,Paro,27.43,89.41,Paro Town,27.43,89.41
Paro,Paro,27.43,89.41,Beteykha Town,27.25,89.41
Paro,Paro,27.43,89.41,Dokar,27.31,89.54
Paro,Paro,27.43,89.41,Loong-nyi,27.39,89.43
Paro,Paro,27.43,89.41,Nagya,27.25,89.41
Paro,Paro,27.43,89.41,Sharpa,27.39,89.45
Paro,Paro,27.43,89.41,Dopshar-ri,27.46,89.43
Paro,Paro,27.43,89.41,Doteng,27.48,89.43
Paro,Paro,27.43,89.41,Hoongrel,27.43,89.42
Paro,Paro,27.43,89.41,Lamgong,27.45,89.36
Paro,Paro,27.43,89.41,Tsento,27.48,89.33
Paro,Paro,27.43,89.41,Wangchang,27.42,89.42
Pemagatshel,Pemagatshel,27.03,91.42,Denchi Town,27.02,91.40
Pemagatshel,Pemagatshel,27.03,91.42,Nganglam Town,26.85,91.25
